Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"nidhoeggr",18,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","09:19:59","09:20:10",
Bot11,"Pycak",17,Failed,"Delivery From the Past","Zone case_extraction","1","09:20:03","09:22:09",
Bot13,"Corty",8,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","09:20:03","09:20:38",
Bot12,"K4_a",6,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","09:20:03","09:20:26",
