Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Yakhmet",13,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","09:58:01","09:59:24",
Bot1,"Stealthsuit",31,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","09:58:01","10:01:01",
Bot4,"Ninjaweb",12,Failed,"Scout","Zone place_pacemaker_SCOUT_02","1","09:58:01","10:00:09",
Bot5,"AshleyShcaefferBMW",23,Failed,"Postman Pat - Part 1","Item Sealed letter","1","09:58:01","10:00:28",
Bot6,"DevilFlippy",28,Failed,"Scout","Zone place_pacemaker_SCOUT_02","1","09:58:01","09:58:06",
Bot13,"DannyR121",9,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","10:01:02","10:01:23",
